PART_NO,SUM_PLACE_COUNT
1013653,2000
1013770,2000
1013958,1998
1014040,2000
1014044,18000
1014050,6000
1014192,2000
1014247,2000
1014448,2000
1014581,1994
1014611,2000
1014812,2000
1014813,4000
1014823,2000
1014926,2000
1014927,2000
1014928,1990
1014929,2000
1015103,2000
1015105,1990
1015191,2002
1015261,2002
1019751,2000
1020997,2000
1023491,2000
1031397,2004
1033214,2000
1037888,8000
1039713,6000
1039984,2000
1040009,4000
1041270,12000
1041770,2001
1041778,8000
1042375,2000
1043387,2002
1043389,2002
1043391,2000
