"PRIMARY_PN,SUBSTITUTE_PN"
1013770,1057903
1013770,1057905
1013770,1057906
1013770,1057965
1014036,1059034
1014130,1042263
1014130,1056927
1014133,1052317
1014250,1041321
1014250,1041768
1014250,1044021
1014252,1039967
1014253,1041776
1014253,1041872
1014253,1041936
1014253,1042134
1014254,1041272
1014258,1041769
1014258,1041873
1014258,1048480
1014267,1033214
1014271,1030875
1014271,1041777
1014271,1041862
1014271,1042292
1014274,1020059
1014274,1031397
1014277,1015444
1014277,1020067
1014277,1026087
1014277,1027245
1014277,1030860
1014277,1041778
1014277,1042404
1014278,1040800
1014278,1040868
1014279,1037888
1014279,1041779
1014280,1030436
1014280,1030996
1014280,1040009
1014280,1043423
1014282,1038704
1014283,1039303
1014283,1039713
1014285,1038483
1014285,1040249
1014301,1051924
1015215,1015216
1015215,1051227
1015215,1055900
1015215,1056234
1015612,1052987
1016520,1030835
1017069,1026410
1017069,1042240
1017069,1052672
1017564,1030872
1017564,1046228
1017992,1042927
1017992,1051079
1017992,1056403
1017992,1057351
1019161,1042267
1019161,1044832
1021646,1039398
1021646,1053972
1021646,1055898
1021646,1058636
1021834,1031944
1021834,1057379
1021834,1057380
1047907,1020076
1047907,1048391
1022474,1042753
1023471,1014450
1023471,1014503
1023471,1050671
1023471,1052262
1023491,1018816
1023491,1058656
1023494,1056450
1025849,1032226
1025849,1048713
1025849,1057098
1026661,1014631
1026661,1043386
1039375,1014284
1039375,1039064
1039375,1039983
1039375,1039984
