"PRIMARY_PN,SUBSTITUTE_PN"
1013770,1057141
1013770,1057902
1013770,1057903
1013770,1057904
1013770,1057905
1013770,1057906
1013770,1057965
1013770,1058140
1039375,1039984
1014250,1041321
1014250,1041768
1014250,1044021
1014264,1030869
1014264,1041270
1014264,1046229
1014267,1033214
1014271,1041777
1014271,1041862
1014274,1020059
1014274,1031397
1014277,1030860
1014277,1041778
1014279,1037888
1014280,1030996
1014280,1040009
1014281,1020997
1014283,1039713
1014570,1040025
1014570,1041770
1014783,1042375
1014821,1032327
1014821,1043389
1014822,1032330
1014822,1043391
1015105,1052986
1015333,1015431
1015333,1024156
1015413,1039304
1015413,1046224
1015413,1049558
1016335,1043387
1028294,1031613
1028294,1057925
1028294,1058447
1039375,1014284
